94.250, 241.95
99.355, 232.03
100.76, 221.66
104.50, 241.53
107.02, 213.01
108.02, 228.03
110.75, 197.80
111.97, 237.19
112.84, 213.16
115.79, 184.72
116.86, 230.07
116.43, 199.58
119.41, 172.95
120.72, 556.48
122.25, 186.41
123.93, 229.41
125.41, 160.79
126.57, 567.59
125.30, 173.04
128.33, 556.23
131.18, 150.14
131.62, 227.82
133.38, 590.82
133.50, 574.17
130.37, 167.33
134.89, 138.35
135.38, 602.42
135.72, 557.04
139.02, 612.60
136.79, 145.52
139.31, 226.18
139.84, 127.99
140.83, 582.20
142.24, 596.64
143.40, 556.36
144.37, 115.26
144.59, 621.84
142.48, 135.94
144.23, 609.92
146.99, 224.85
143.63, 129.00
148.44, 103.33
146.52, 587.79
150.31, 91.821
149.98, 633.93
151.09, 556.56
150.18, 114.69
150.54, 623.00
154.68, 223.95
155.17, 101.51
156.40, 644.19
155.60, 91.271
157.25, 80.173
155.32, 632.64
158.43, 559.70
159.97, 553.62
161.87, 656.91
162.37, 221.87
161.29, 644.78
161.58, 89.523
167.71, 668.72
167.31, 556.52
166.83, 656.87
170.05, 220.80
173.76, 681.25
176.27, 694.09
173.23, 670.24
175.00, 557.47
177.74, 219.66
181.27, 700.03
179.54, 685.32
182.68, 558.25
185.43, 218.61
187.11, 710.30
185.60, 697.85
190.37, 558.51
192.53, 722.60
193.11, 218.06
191.57, 710.78
197.62, 732.78
198.06, 558.97
196.69, 721.35
200.80, 217.08
201.98, 743.95
201.38, 732.51
206.25, 755.55
205.74, 559.82
208.48, 215.22
207.35, 746.22
211.27, 767.68
213.43, 560.05
212.47, 756.89
216.17, 214.11
217.13, 777.61
216.31, 766.29
221.11, 560.05
222.36, 788.75
223.86, 213.18
221.43, 777.16
226.72, 799.82
228.80, 560.08
227.82, 791.26
231.74, 809.71
231.54, 211.70
233.37, 803.01
236.08, 821.36
236.48, 559.40
239.23, 210.39
240.38, 831.62
238.06, 815.06
244.17, 558.91
245.39, 844.07
246.92, 208.10
244.88, 831.61
250.63, 856.11
251.86, 557.86
250.43, 843.40
254.60, 206.27
257.10, 866.04
255.97, 854.01
259.54, 557.50
262.29, 204.01
263.19, 877.14
261.94, 865.88
267.23, 558.51
268.42, 887.42
268.27, 389.05
268.38, 366.56
269.46, 447.09
269.00, 430.70
268.76, 415.97
269.02, 404.95
269.24, 378.84
270.22, 348.03
269.98, 201.06
271.12, 874.79
270.70, 329.61
